Protocol:	no3 04.04.2025 13:48:48
Plate format:	96 Wells

Absorbances     Filter 1: 540nm

	1	2	3	4	5	6	7	8	9	10	11	12
A	0.092	0.114	0.128	0.110	0.108	0.106	0.101	0.083	0.119	0.113	0.082	0.091
B	0.100	0.110	0.124	0.109	0.106	0.103	0.103	0.083	0.117	0.111	0.081	0.097
C	0.107	0.111	0.124	0.110	0.105	0.103	0.102	0.083	0.117	0.110	0.098	0.105
D	0.122	0.111	0.122	0.109	0.107	0.103	0.102	0.083	0.118	0.114	0.081	0.120
E	0.157	0.098	0.103	0.092	0.091	0.100	0.092	0.082	0.097	0.098	0.081	0.155
F	0.238	0.097	0.098	0.093	0.091	0.100	0.093	0.083	0.095	0.099	0.081	0.229
G	0.396	0.101	0.098	0.093	0.089	0.100	0.092	0.082	0.097	0.097	0.081	0.373
H	0.546	0.097	0.099	0.092	0.090	0.103	0.094	0.083	0.110	0.099	0.082	0.530

