Protocol:	no3 04.04.2025 13:50:28
Plate format:	96 Wells

Absorbances     Filter 1: 540nm

	1	2	3	4	5	6	7	8	9	10	11	12
A	0.091	0.107	0.104	0.093	0.104	0.103	0.101	0.083	0.105	0.091	0.084	0.090
B	0.099	0.103	0.100	0.092	0.101	0.104	0.101	0.082	0.107	0.089	0.084	0.098
C	0.106	0.101	0.100	0.091	0.102	0.108	0.100	0.081	0.104	0.089	0.084	0.104
D	0.119	0.101	0.100	0.093	0.101	0.109	0.100	0.082	0.105	0.092	0.084	0.131
E	0.153	0.103	0.114	0.102	0.108	0.103	0.112	0.083	0.118	0.121	0.085	0.155
F	0.230	0.106	0.113	0.102	0.109	0.105	0.107	0.082	0.116	0.122	0.084	0.234
G	0.374	0.114	0.116	0.103	0.109	0.104	0.108	0.082	0.117	0.120	0.085	0.393
H	0.523	0.116	0.119	0.102	0.111	0.106	0.108	0.082	0.121	0.125	0.085	0.551

