Measurement results,,,,,,,,,,,,
MR_10_plates_template (1).skax,,,,,,,,,,,,
01/07/2024 16:22:41,,,,,,,,,,,,
 ,,,,,,,,,,,,
Absorbance 1,,,,,,,,,,,,
Wavelength: 570 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
M12,,,,,,,,,,,,
 ,,,,,,,,,,,,
E,1.7098,1.6807,1.6625,1.6973,1.7397,1.7026,1.7114,1.6897,1.7403,1.7304,1.6922,1.6865
F,1.6771,1.6983,1.6860,1.6903,1.7246,1.7221,1.7236,1.7104,1.7027,1.7677,1.7325,1.6510
G,1.7280,1.6760,1.6714,1.7038,1.7140,1.6721,1.6859,1.6975,1.6960,1.7001,1.7223,1.6517
H,1.6819,1.6680,1.7025,1.6890,1.6863,1.7122,1.6771,1.7360,1.6885,1.6914,1.6847,1.6859
,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12
A,Std0193,Std0194,Std0195,Std0196,Std0197,Std0198,Std0199,Std0200,Std0201,Std0202,Std0203,Std0204
B,Std0205,Std0206,Std0207,Std0208,Std0209,Std0210,Std0211,Std0212,Std0213,Std0214,Std0215,Std0216
C,Std0217,Std0218,Std0219,Std0220,Std0221,Std0222,Std0223,Std0224,Std0225,Std0226,Std0227,Std0228
D,Std0229,Std0230,Std0231,Std0232,Std0233,Std0234,Std0235,Std0236,Std0237,Std0238,Std0239,Std0240
E,Std0241,Std0242,Std0243,Std0244,Std0245,Std0246,Std0247,Std0248,Std0249,Std0250,Std0251,Std0252
F,Std0253,Std0254,Std0255,Std0256,Std0257,Std0258,Std0259,Std0260,Std0261,Std0262,Std0263,Std0264
G,Std0265,Std0266,Std0267,Std0268,Std0269,Std0270,Std0271,Std0272,Std0273,Std0274,Std0275,Std0276
H,Std0277,Std0278,Std0279,Std0280,Std0281,Std0282,Std0283,Std0284,Std0285,Std0286,Std0287,Std0288
,,,,,,,,,,,,
,,,,,,,,,,,,
Wavelength: 570 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
M18,,,,,,,,,,,,
 ,,,,,,,,,,,,
Abs,1,2,3,4,5,6,7,8,9,10,11,12
A,1.7013,1.6475,1.6804,1.6902,1.6849,1.6939,1.6686,1.6908,1.7069,1.6949,1.6892,1.6453
B,1.7486,1.7620,1.7519,1.7518,1.7661,1.8090,1.7669,1.7517,1.7710,1.7593,1.7108,1.7291
C,1.7791,1.8056,1.7908,1.7959,1.8228,1.7941,1.8142,1.8192,1.7913,1.7880,1.7958,1.7632
D,1.7969,1.8163,1.8356,1.8108,1.8127,1.8279,1.8019,1.8016,1.8092,1.7998,1.7875,1.7698
