P01,1,2,3,4,5,6,7,8,9,10,11,12
H,1.04,0.48,1.07,1.05,0.38,0.66,0.89,0.96,0.94,0.87,0.9,1.07
P04,1,2,3,4,5,6,7,8,9,10,11,12
A,1.09,0.44,0.96,1.08,0.36,0.61,0.91,0.86,0.97,0.82,0.86,1.06
B,1.08,0.5,1.06,1.07,0.37,0.76,0.95,0.92,1.04,0.92,0.95,1.09
C,1.08,0.52,1.1,1.08,0.38,0.74,0.99,0.91,1.03,0.93,0.98,1.11
D,1.1,0.52,1.08,1.09,0.37,0.76,0.99,0.95,1.08,0.97,0.97,1.13
E,1.08,0.55,1.09,1.12,0.37,0.77,0.98,0.96,1.06,0.97,0.99,1.12
F,1.1,0.57,1.09,1.1,0.37,0.76,0.98,0.95,1.05,0.97,1,1.1
G,1.09,0.55,1.08,1.12,0.37,0.77,0.96,0.96,1.05,0.96,0.99,1.13
H,1.1,0.53,1.12,1.12,0.4,0.8,0.98,0.95,1.04,0.96,0.98,1.13
P05,1,2,3,4,5,6,7,8,9,10,11,12
A,1.13,0.47,1.06,1.14,0.68,1,1.08,1,1.01,0.93,1,1.1
B,1.07,0.51,1.09,1.13,0.38,0.87,1.04,1.05,1.04,1.04,1.04,1.16
C,1.11,0.55,1.18,1.13,0.4,0.84,1.03,1.08,1.08,1.04,1.05,1.16
D,1.11,0.51,1.11,1.15,0.36,0.86,1.02,1.08,1.1,1.07,1.05,1.2
E,1.11,0.52,1.1,1.14,0.39,0.84,1.03,1.06,1.12,1.07,1.06,1.18
F,1.1,0.53,1.1,1.12,0.39,0.89,1.04,1.08,1.11,1.07,1.08,1.16
G,1.16,0.53,1.1,1.15,0.37,0.89,1.02,1.07,1.12,1.05,1.07,1.16
H,1.12,0.5,1.13,1.15,0.4,0.9,1.02,1.1,1.13,1.04,1.03,1.18
P11,1,2,3,4,5,6,7,8,9,10,11,12
A,1.18,0.62,1.17,1.15,0.87,0.69,0.71,0.85,0.97,0.85,0.74,1.26
B,1.22,0.62,1.19,1.19,0.71,0.71,0.72,0.87,1.02,0.94,0.78,1.24
C,1.19,0.63,1.19,1.23,0.62,0.66,0.72,0.88,1.03,0.94,0.78,1.25
D,1.2,0.64,1.23,1.23,0.65,0.69,0.74,0.89,1.08,0.94,0.8,1.26
E,1.2,0.64,1.2,1.21,0.67,0.65,0.73,0.91,1.06,0.95,0.77,1.25
F,1.21,0.68,1.23,1.24,0.78,0.7,0.72,0.98,1.07,0.96,0.79,1.24
G,1.22,0.62,1.23,1.22,0.63,0.71,0.75,0.93,1.07,0.96,0.75,1.24
H,1.22,0.61,1.21,1.24,0.55,0.91,0.82,1.06,1.09,0.92,0.77,1.25
P12,1,2,3,4,5,6,7,8,9,10,11,12
A,1.12,0.56,1.12,1.11,0.66,0.53,0.59,0.68,0.92,0.71,0.51,1.1
B,1.15,0.59,1.16,1.13,0.52,0.56,0.62,0.71,0.94,0.78,0.61,1.15
C,1.21,0.61,1.23,1.14,0.71,0.54,0.62,0.74,0.88,0.78,0.62,1.15
D,1.19,0.63,1.2,1.15,0.69,0.54,0.64,0.73,0.92,0.79,0.59,1.17
E,1.21,0.61,1.2,1.17,0.73,0.55,0.65,0.7,0.92,0.76,0.62,1.18
F,1.19,0.64,1.2,1.17,0.67,0.55,0.62,0.76,0.9,0.82,0.57,1.17
G,1.25,0.6,1.21,1.17,0.67,0.53,0.59,0.69,0.92,0.77,0.62,1.17
H,1.18,0.6,1.23,1.14,0.63,0.55,0.6,0.74,0.91,0.78,0.56,1.15
P13,1,2,3,4,5,6,7,8,9,10,11,12
A,1.14,0.57,1.13,1.12,0.57,0.58,0.68,0.75,0.96,0.87,0.69,1.16
B,1.18,0.61,1.16,1.15,0.52,0.66,0.71,0.84,1,0.87,0.72,1.18
C,1.18,0.62,1.18,1.18,0.58,0.62,0.7,0.89,1,0.89,0.74,1.21
D,1.18,0.61,1.23,1.2,0.58,0.61,0.71,0.84,1.02,0.87,0.75,1.2
E,1.21,0.62,1.2,1.19,0.58,0.64,0.73,0.85,1.02,0.89,0.74,1.21
F,1.21,0.65,1.22,1.16,0.64,0.64,0.73,0.87,1.01,0.9,0.75,1.21
G,1.19,0.63,1.21,1.19,0.57,0.67,0.69,0.85,1,0.89,0.71,1.2
H,1.22,0.59,1.2,1.2,0.57,0.62,0.72,0.84,1,0.87,0.73,1.22
P14,1,2,3,4,5,6,7,8,9,10,11,12
A,1.16,0.59,1.1,1.1,0.54,0.5,0.62,0.69,0.89,0.75,0.57,1.11
B,1.14,0.57,1.16,1.16,0.5,0.52,0.65,0.71,0.92,0.8,0.64,1.18
C,1.14,0.62,1.16,1.16,0.7,0.52,0.64,0.81,0.92,0.81,0.69,1.18
D,1.17,0.6,1.16,1.18,0.47,0.6,0.7,0.76,0.93,0.83,0.66,1.23
E,1.19,0.6,1.17,1.18,0.57,0.56,0.65,0.75,0.94,0.82,0.61,1.19
F,1.17,0.65,1.2,1.14,0.59,0.54,0.65,0.78,0.96,0.84,0.65,1.19
G,1.17,0.62,1.19,1.19,0.57,0.57,0.66,0.77,0.96,0.81,0.63,1.18
H,1.23,0.62,1.2,1.15,0.59,0.6,0.66,0.79,0.97,0.81,0.63,1.19
P15,1,2,3,4,5,6,7,8,9,10,11,12
A,1.2,0.64,1.19,1.23,0.56,0.67,0.68,0.91,1.05,0.98,0.73,1.24
B,1.25,0.66,1.26,1.26,0.64,0.73,0.78,0.89,1.14,0.98,0.82,1.31
C,1.28,0.7,1.3,1.32,0.58,0.7,0.81,0.97,1.14,1,0.85,1.32
D,1.29,0.69,1.36,1.31,0.62,0.72,0.78,0.97,1.14,0.99,0.84,1.33
E,1.27,0.7,1.33,1.32,0.59,0.72,0.82,0.96,1.13,1.03,0.86,1.33
F,1.27,0.71,1.34,1.33,0.66,0.75,0.82,1,1.15,1.01,0.83,1.34
G,1.26,0.71,1.32,1.33,0.58,0.73,0.78,0.97,1.11,1.02,0.82,1.35
H,1.29,0.7,1.33,1.34,0.6,0.74,0.85,0.99,1.13,0.98,0.84,1.34
