NO3_TDN_01,1,2,3,4,5,6,7,8,9,10,11,12
H,Std,90_t2_z3_CFE.1x,84_t2_z2_CFE.1x,96_t2_z2_CFE.1x,101_t2_z1_CFE.1x,91_t2_z2_CFE.1x,87_t2_z1_CFE.1x,extr,83_t2_z1_CFE.1x,97_t2_z1_CFE.1x,93_t2_z2_CFE.1x,Field_t2_Std_R3_CFE.1x
NO3_TDN_12,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,90_t2_z1_CFE.2x,85_t2_z2_CFE.2x,92_t2_z1_CFE.2x,94_t2_z1_CFE.2x,91_t2_z1_CFE.2x,95_t2_z1_CFE.2x,extr,102_t2_z2_CFE.2x,84_t2_z3_CFE.2x,104_t2_z3_CFE.2x,Field_t2_Std_R4_CFE.2x
B,Std,90_t2_z1_CFE.2x,85_t2_z2_CFE.2x,92_t2_z1_CFE.2x,94_t2_z1_CFE.2x,91_t2_z1_CFE.2x,95_t2_z1_CFE.2x,extr,102_t2_z2_CFE.2x,84_t2_z3_CFE.2x,104_t2_z3_CFE.2x,Field_t2_Std_R4_CFE.2x
C,Std,90_t2_z1_CFE.2x,85_t2_z2_CFE.2x,92_t2_z1_CFE.2x,94_t2_z1_CFE.2x,91_t2_z1_CFE.2x,95_t2_z1_CFE.2x,extr,102_t2_z2_CFE.2x,84_t2_z3_CFE.2x,104_t2_z3_CFE.2x,Field_t2_Std_R4_CFE.2x
D,Std,90_t2_z1_CFE.2x,85_t2_z2_CFE.2x,92_t2_z1_CFE.2x,94_t2_z1_CFE.2x,91_t2_z1_CFE.2x,95_t2_z1_CFE.2x,extr,102_t2_z2_CFE.2x,84_t2_z3_CFE.2x,104_t2_z3_CFE.2x,Field_t2_Std_R4_CFE.2x
E,Std,90_t2_z1_CFE.1x,85_t2_z2_CFE.1x,92_t2_z1_CFE.1x,94_t2_z1_CFE.1x,91_t2_z1_CFE.1x,95_t2_z1_CFE.1x,extr,102_t2_z2_CFE.1x,84_t2_z3_CFE.1x,104_t2_z3_CFE.1x,Field_t2_Std_R4_CFE.1x
F,Std,90_t2_z1_CFE.1x,85_t2_z2_CFE.1x,92_t2_z1_CFE.1x,94_t2_z1_CFE.1x,91_t2_z1_CFE.1x,95_t2_z1_CFE.1x,extr,102_t2_z2_CFE.1x,84_t2_z3_CFE.1x,104_t2_z3_CFE.1x,Field_t2_Std_R4_CFE.1x
G,Std,90_t2_z1_CFE.1x,85_t2_z2_CFE.1x,92_t2_z1_CFE.1x,94_t2_z1_CFE.1x,91_t2_z1_CFE.1x,95_t2_z1_CFE.1x,extr,102_t2_z2_CFE.1x,84_t2_z3_CFE.1x,104_t2_z3_CFE.1x,Field_t2_Std_R4_CFE.1x
H,Std,90_t2_z1_CFE.1x,85_t2_z2_CFE.1x,92_t2_z1_CFE.1x,94_t2_z1_CFE.1x,91_t2_z1_CFE.1x,95_t2_z1_CFE.1x,extr,102_t2_z2_CFE.1x,84_t2_z3_CFE.1x,104_t2_z3_CFE.1x,Field_t2_Std_R4_CFE.1x
NO3_TDN_13,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,99_t2_z2_CFE.2x,85_t2_z1_CFE.2x,104_t2_z2_CFE.2x,82_t2_z3_CFE.2x,97_t2_z2_CFE.2x,96_t2_z1_CFE.2x,extr,98_t2_z1_CFE.2x,99_t2_z1_CFE.2x,103_t2_z2_CFE.2x,Field_t2_Std_R5_CFE.2x
B,Std,99_t2_z2_CFE.2x,85_t2_z1_CFE.2x,104_t2_z2_CFE.2x,82_t2_z3_CFE.2x,97_t2_z2_CFE.2x,96_t2_z1_CFE.2x,extr,98_t2_z1_CFE.2x,99_t2_z1_CFE.2x,103_t2_z2_CFE.2x,Field_t2_Std_R5_CFE.2x
C,Std,99_t2_z2_CFE.2x,85_t2_z1_CFE.2x,104_t2_z2_CFE.2x,82_t2_z3_CFE.2x,97_t2_z2_CFE.2x,96_t2_z1_CFE.2x,extr,98_t2_z1_CFE.2x,99_t2_z1_CFE.2x,103_t2_z2_CFE.2x,Field_t2_Std_R5_CFE.2x
D,Std,99_t2_z2_CFE.2x,85_t2_z1_CFE.2x,104_t2_z2_CFE.2x,82_t2_z3_CFE.2x,97_t2_z2_CFE.2x,96_t2_z1_CFE.2x,extr,98_t2_z1_CFE.2x,99_t2_z1_CFE.2x,103_t2_z2_CFE.2x,Field_t2_Std_R5_CFE.2x
E,Std,99_t2_z2_CFE.1x,85_t2_z1_CFE.1x,104_t2_z2_CFE.1x,82_t2_z3_CFE.1x,97_t2_z2_CFE.1x,96_t2_z1_CFE.1x,extr,98_t2_z1_CFE.1x,99_t2_z1_CFE.1x,103_t2_z2_CFE.1x,Field_t2_Std_R5_CFE.1x
F,Std,99_t2_z2_CFE.1x,85_t2_z1_CFE.1x,104_t2_z2_CFE.1x,82_t2_z3_CFE.1x,97_t2_z2_CFE.1x,96_t2_z1_CFE.1x,extr,98_t2_z1_CFE.1x,99_t2_z1_CFE.1x,103_t2_z2_CFE.1x,Field_t2_Std_R5_CFE.1x
G,Std,99_t2_z2_CFE.1x,85_t2_z1_CFE.1x,104_t2_z2_CFE.1x,82_t2_z3_CFE.1x,97_t2_z2_CFE.1x,96_t2_z1_CFE.1x,extr,98_t2_z1_CFE.1x,99_t2_z1_CFE.1x,103_t2_z2_CFE.1x,Field_t2_Std_R5_CFE.1x
H,Std,99_t2_z2_CFE.1x,85_t2_z1_CFE.1x,104_t2_z2_CFE.1x,82_t2_z3_CFE.1x,97_t2_z2_CFE.1x,96_t2_z1_CFE.1x,extr,98_t2_z1_CFE.1x,99_t2_z1_CFE.1x,103_t2_z2_CFE.1x,Field_t2_Std_R5_CFE.1x
NO3_TDN_14,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,81_t2_z2_CFE.2x,90_t2_z2_CFE.2x,82_t2_z1_CFE.2x,99_t2_z3_CFE.2x,89_t2_z2_CFE.2x,88_t2_z1_CFE.2x,extr,89_t2_z1_CFE.2x,87_t2_z3_CFE.2x,98_t2_z2_CFE.2x,Field_t2_Std_R6_CFE.2x
B,Std,81_t2_z2_CFE.2x,90_t2_z2_CFE.2x,82_t2_z1_CFE.2x,99_t2_z3_CFE.2x,89_t2_z2_CFE.2x,88_t2_z1_CFE.2x,extr,89_t2_z1_CFE.2x,87_t2_z3_CFE.2x,98_t2_z2_CFE.2x,Field_t2_Std_R6_CFE.2x
C,Std,81_t2_z2_CFE.2x,90_t2_z2_CFE.2x,82_t2_z1_CFE.2x,99_t2_z3_CFE.2x,89_t2_z2_CFE.2x,88_t2_z1_CFE.2x,extr,89_t2_z1_CFE.2x,87_t2_z3_CFE.2x,98_t2_z2_CFE.2x,Field_t2_Std_R6_CFE.2x
D,Std,81_t2_z2_CFE.2x,90_t2_z2_CFE.2x,82_t2_z1_CFE.2x,99_t2_z3_CFE.2x,89_t2_z2_CFE.2x,88_t2_z1_CFE.2x,extr,89_t2_z1_CFE.2x,87_t2_z3_CFE.2x,98_t2_z2_CFE.2x,Field_t2_Std_R6_CFE.2x
E,Std,81_t2_z2_CFE.1x,90_t2_z2_CFE.1x,82_t2_z1_CFE.1x,99_t2_z3_CFE.1x,89_t2_z2_CFE.1x,88_t2_z1_CFE.1x,extr,89_t2_z1_CFE.1x,87_t2_z3_CFE.1x,98_t2_z2_CFE.1x,Field_t2_Std_R6_CFE.1x
F,Std,81_t2_z2_CFE.1x,90_t2_z2_CFE.1x,82_t2_z1_CFE.1x,99_t2_z3_CFE.1x,89_t2_z2_CFE.1x,88_t2_z1_CFE.1x,extr,89_t2_z1_CFE.1x,87_t2_z3_CFE.1x,98_t2_z2_CFE.1x,Field_t2_Std_R6_CFE.1x
G,Std,81_t2_z2_CFE.1x,90_t2_z2_CFE.1x,82_t2_z1_CFE.1x,99_t2_z3_CFE.1x,89_t2_z2_CFE.1x,88_t2_z1_CFE.1x,extr,89_t2_z1_CFE.1x,87_t2_z3_CFE.1x,98_t2_z2_CFE.1x,Field_t2_Std_R6_CFE.1x
H,Std,81_t2_z2_CFE.1x,90_t2_z2_CFE.1x,82_t2_z1_CFE.1x,99_t2_z3_CFE.1x,89_t2_z2_CFE.1x,88_t2_z1_CFE.1x,extr,89_t2_z1_CFE.1x,87_t2_z3_CFE.1x,98_t2_z2_CFE.1x,Field_t2_Std_R6_CFE.1x
NO3_TDN_15,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,83_t2_z3_CFE.2x,92_t2_z3_CFE.2x,101_t2_z2_CFE.2x,100_t2_z1_CFE.2x,100_t2_z3_CFE.2x,94_t2_z2_CFE.2x,extr,93_t2_z1_CFE.2x,81_t2_z3_CFE.2x,102_t2_z3_CFE.2x,Field_t2_Std_R7_CFE.2x
B,Std,83_t2_z3_CFE.2x,92_t2_z3_CFE.2x,101_t2_z2_CFE.2x,100_t2_z1_CFE.2x,100_t2_z3_CFE.2x,94_t2_z2_CFE.2x,extr,93_t2_z1_CFE.2x,81_t2_z3_CFE.2x,102_t2_z3_CFE.2x,Field_t2_Std_R7_CFE.2x
C,Std,83_t2_z3_CFE.2x,92_t2_z3_CFE.2x,101_t2_z2_CFE.2x,100_t2_z1_CFE.2x,100_t2_z3_CFE.2x,94_t2_z2_CFE.2x,extr,93_t2_z1_CFE.2x,81_t2_z3_CFE.2x,102_t2_z3_CFE.2x,Field_t2_Std_R7_CFE.2x
D,Std,83_t2_z3_CFE.2x,92_t2_z3_CFE.2x,101_t2_z2_CFE.2x,100_t2_z1_CFE.2x,100_t2_z3_CFE.2x,94_t2_z2_CFE.2x,extr,93_t2_z1_CFE.2x,81_t2_z3_CFE.2x,102_t2_z3_CFE.2x,Field_t2_Std_R7_CFE.2x
E,Std,83_t2_z3_CFE.1x,92_t2_z3_CFE.1x,101_t2_z2_CFE.1x,100_t2_z1_CFE.1x,100_t2_z3_CFE.1x,94_t2_z2_CFE.1x,extr,93_t2_z1_CFE.1x,81_t2_z3_CFE.1x,102_t2_z3_CFE.1x,Field_t2_Std_R7_CFE.1x
F,Std,83_t2_z3_CFE.1x,92_t2_z3_CFE.1x,101_t2_z2_CFE.1x,100_t2_z1_CFE.1x,100_t2_z3_CFE.1x,94_t2_z2_CFE.1x,extr,93_t2_z1_CFE.1x,81_t2_z3_CFE.1x,102_t2_z3_CFE.1x,Field_t2_Std_R7_CFE.1x
G,Std,83_t2_z3_CFE.1x,92_t2_z3_CFE.1x,101_t2_z2_CFE.1x,100_t2_z1_CFE.1x,100_t2_z3_CFE.1x,94_t2_z2_CFE.1x,extr,93_t2_z1_CFE.1x,81_t2_z3_CFE.1x,102_t2_z3_CFE.1x,Field_t2_Std_R7_CFE.1x
H,Std,83_t2_z3_CFE.1x,92_t2_z3_CFE.1x,101_t2_z2_CFE.1x,100_t2_z1_CFE.1x,100_t2_z3_CFE.1x,94_t2_z2_CFE.1x,extr,93_t2_z1_CFE.1x,81_t2_z3_CFE.1x,102_t2_z3_CFE.1x,Field_t2_Std_R7_CFE.1x
NO3_TDN_16,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,81_t2_z1_CFE.2x,98_t2_z3_CFE.2x,103_t2_z1_CFE.2x,86_t2_z1_CFE.2x,88_t2_z3_CFE.2x,89_t2_z3_CFE.2x,extr,104_t2_z1_CFE.2x,85_t2_z3_CFE.2x,97_t2_z3_CFE.2x,Field_t2_Std_R8_CFE.2x
B,Std,81_t2_z1_CFE.2x,98_t2_z3_CFE.2x,103_t2_z1_CFE.2x,86_t2_z1_CFE.2x,88_t2_z3_CFE.2x,89_t2_z3_CFE.2x,extr,104_t2_z1_CFE.2x,85_t2_z3_CFE.2x,97_t2_z3_CFE.2x,Field_t2_Std_R8_CFE.2x
C,Std,81_t2_z1_CFE.2x,98_t2_z3_CFE.2x,103_t2_z1_CFE.2x,86_t2_z1_CFE.2x,88_t2_z3_CFE.2x,89_t2_z3_CFE.2x,extr,104_t2_z1_CFE.2x,85_t2_z3_CFE.2x,97_t2_z3_CFE.2x,Field_t2_Std_R8_CFE.2x
D,Std,81_t2_z1_CFE.2x,98_t2_z3_CFE.2x,103_t2_z1_CFE.2x,86_t2_z1_CFE.2x,88_t2_z3_CFE.2x,89_t2_z3_CFE.2x,extr,104_t2_z1_CFE.2x,85_t2_z3_CFE.2x,97_t2_z3_CFE.2x,Field_t2_Std_R8_CFE.2x
E,Std,81_t2_z1_CFE.1x,98_t2_z3_CFE.1x,103_t2_z1_CFE.1x,86_t2_z1_CFE.1x,88_t2_z3_CFE.1x,89_t2_z3_CFE.1x,extr,104_t2_z1_CFE.1x,85_t2_z3_CFE.1x,97_t2_z3_CFE.1x,Field_t2_Std_R8_CFE.1x
F,Std,81_t2_z1_CFE.1x,98_t2_z3_CFE.1x,103_t2_z1_CFE.1x,86_t2_z1_CFE.1x,88_t2_z3_CFE.1x,89_t2_z3_CFE.1x,extr,104_t2_z1_CFE.1x,85_t2_z3_CFE.1x,97_t2_z3_CFE.1x,Field_t2_Std_R8_CFE.1x
G,Std,81_t2_z1_CFE.1x,98_t2_z3_CFE.1x,103_t2_z1_CFE.1x,86_t2_z1_CFE.1x,88_t2_z3_CFE.1x,89_t2_z3_CFE.1x,extr,104_t2_z1_CFE.1x,85_t2_z3_CFE.1x,97_t2_z3_CFE.1x,Field_t2_Std_R8_CFE.1x
H,Std,81_t2_z1_CFE.1x,98_t2_z3_CFE.1x,103_t2_z1_CFE.1x,86_t2_z1_CFE.1x,88_t2_z3_CFE.1x,89_t2_z3_CFE.1x,extr,104_t2_z1_CFE.1x,85_t2_z3_CFE.1x,97_t2_z3_CFE.1x,Field_t2_Std_R8_CFE.1x
NO3_TDN_17,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,Pot_t2_Std_R10bis_NF.2x,64_t2_NF.2x,Pot_t2_SR10bis_NF.2x,69_t2_NF.2x,75_t2_NF.2x,17_t2_NF.2x,extr,73_t2_NF.2x,Pot_t2_SR6_NF.2x,Pot_t2_SR5_NF.2x,Pot_t2_Std_R8_NF.2x
B,Std,Pot_t2_Std_R10bis_NF.2x,64_t2_NF.2x,Pot_t2_SR10bis_NF.2x,69_t2_NF.2x,75_t2_NF.2x,17_t2_NF.2x,extr,73_t2_NF.2x,Pot_t2_SR6_NF.2x,Pot_t2_SR5_NF.2x,Pot_t2_Std_R8_NF.2x
C,Std,Pot_t2_Std_R10bis_NF.2x,64_t2_NF.2x,Pot_t2_SR10bis_NF.2x,69_t2_NF.2x,75_t2_NF.2x,17_t2_NF.2x,extr,73_t2_NF.2x,Pot_t2_SR6_NF.2x,Pot_t2_SR5_NF.2x,Pot_t2_Std_R8_NF.2x
D,Std,Pot_t2_Std_R10bis_NF.2x,64_t2_NF.2x,Pot_t2_SR10bis_NF.2x,69_t2_NF.2x,75_t2_NF.2x,17_t2_NF.2x,extr,73_t2_NF.2x,Pot_t2_SR6_NF.2x,Pot_t2_SR5_NF.2x,Pot_t2_Std_R8_NF.2x
E,Std,Pot_t2_Std_R10bis_NF.1x,64_t2_NF.1x,Pot_t2_SR10bis_NF.1x,69_t2_NF.1x,75_t2_NF.1x,17_t2_NF.1x,extr,73_t2_NF.1x,Pot_t2_SR6_NF.1x,Pot_t2_SR5_NF.1x,Pot_t2_Std_R8_NF.1x
F,Std,Pot_t2_Std_R10bis_NF.1x,64_t2_NF.1x,Pot_t2_SR10bis_NF.1x,69_t2_NF.1x,75_t2_NF.1x,17_t2_NF.1x,extr,73_t2_NF.1x,Pot_t2_SR6_NF.1x,Pot_t2_SR5_NF.1x,Pot_t2_Std_R8_NF.1x
G,Std,Pot_t2_Std_R10bis_NF.1x,64_t2_NF.1x,Pot_t2_SR10bis_NF.1x,69_t2_NF.1x,75_t2_NF.1x,17_t2_NF.1x,extr,73_t2_NF.1x,Pot_t2_SR6_NF.1x,Pot_t2_SR5_NF.1x,Pot_t2_Std_R8_NF.1x
H,Std,Pot_t2_Std_R10bis_NF.1x,64_t2_NF.1x,Pot_t2_SR10bis_NF.1x,69_t2_NF.1x,75_t2_NF.1x,17_t2_NF.1x,extr,73_t2_NF.1x,Pot_t2_SR6_NF.1x,Pot_t2_SR5_NF.1x,Pot_t2_Std_R8_NF.1x
NO3_TDN_18,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,63_t2_NF.2x,Pot_t2_Std_R12_NF.2x,10_t2_NF.2x,18_t2_NF.2x,45_t2_NF.2x,8_t2_NF.2x,extr,36_t2_NF.2x,Pot_t2_Std_R13_NF.2x,20_t2_NF.2x,33_t2_NF.2x
B,Std,63_t2_NF.2x,Pot_t2_Std_R12_NF.2x,10_t2_NF.2x,18_t2_NF.2x,45_t2_NF.2x,8_t2_NF.2x,extr,36_t2_NF.2x,Pot_t2_Std_R13_NF.2x,20_t2_NF.2x,33_t2_NF.2x
C,Std,63_t2_NF.2x,Pot_t2_Std_R12_NF.2x,10_t2_NF.2x,18_t2_NF.2x,45_t2_NF.2x,8_t2_NF.2x,extr,36_t2_NF.2x,Pot_t2_Std_R13_NF.2x,20_t2_NF.2x,33_t2_NF.2x
D,Std,63_t2_NF.2x,Pot_t2_Std_R12_NF.2x,10_t2_NF.2x,18_t2_NF.2x,45_t2_NF.2x,8_t2_NF.2x,extr,36_t2_NF.2x,Pot_t2_Std_R13_NF.2x,20_t2_NF.2x,33_t2_NF.2x
E,Std,63_t2_NF.1x,Pot_t2_Std_R12_NF.1x,10_t2_NF.1x,18_t2_NF.1x,45_t2_NF.1x,8_t2_NF.1x,extr,36_t2_NF.1x,Pot_t2_Std_R13_NF.1x,20_t2_NF.1x,33_t2_NF.1x
F,Std,63_t2_NF.1x,Pot_t2_Std_R12_NF.1x,10_t2_NF.1x,18_t2_NF.1x,45_t2_NF.1x,8_t2_NF.1x,extr,36_t2_NF.1x,Pot_t2_Std_R13_NF.1x,20_t2_NF.1x,33_t2_NF.1x
G,Std,63_t2_NF.1x,Pot_t2_Std_R12_NF.1x,10_t2_NF.1x,18_t2_NF.1x,45_t2_NF.1x,8_t2_NF.1x,extr,36_t2_NF.1x,Pot_t2_Std_R13_NF.1x,20_t2_NF.1x,33_t2_NF.1x
H,Std,63_t2_NF.1x,Pot_t2_Std_R12_NF.1x,10_t2_NF.1x,18_t2_NF.1x,45_t2_NF.1x,8_t2_NF.1x,extr,36_t2_NF.1x,Pot_t2_Std_R13_NF.1x,20_t2_NF.1x,33_t2_NF.1x
NO3_TDN_19,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,Pot_t2_Std_R9_NF.2x,23_t2_NF.2x,30_t2_NF.2x,Pot_t2_Std_R6_NF.2x,47_t2_NF.2x,32_t2_NF.2x,extr,7_t2_NF.2x,19_t2_NF.2x,35_t2_NF.2x,40_t2_NF.2x
B,Std,Pot_t2_Std_R9_NF.2x,23_t2_NF.2x,30_t2_NF.2x,Pot_t2_Std_R6_NF.2x,47_t2_NF.2x,32_t2_NF.2x,extr,7_t2_NF.2x,19_t2_NF.2x,35_t2_NF.2x,40_t2_NF.2x
C,Std,Pot_t2_Std_R9_NF.2x,23_t2_NF.2x,30_t2_NF.2x,Pot_t2_Std_R6_NF.2x,47_t2_NF.2x,32_t2_NF.2x,extr,7_t2_NF.2x,19_t2_NF.2x,35_t2_NF.2x,40_t2_NF.2x
D,Std,Pot_t2_Std_R9_NF.2x,23_t2_NF.2x,30_t2_NF.2x,Pot_t2_Std_R6_NF.2x,47_t2_NF.2x,32_t2_NF.2x,extr,7_t2_NF.2x,19_t2_NF.2x,35_t2_NF.2x,40_t2_NF.2x
E,Std,Pot_t2_Std_R9_NF.1x,23_t2_NF.1x,30_t2_NF.1x,Pot_t2_Std_R6_NF.1x,47_t2_NF.1x,32_t2_NF.1x,extr,7_t2_NF.1x,19_t2_NF.1x,35_t2_NF.1x,40_t2_NF.1x
F,Std,Pot_t2_Std_R9_NF.1x,23_t2_NF.1x,30_t2_NF.1x,Pot_t2_Std_R6_NF.1x,47_t2_NF.1x,32_t2_NF.1x,extr,7_t2_NF.1x,19_t2_NF.1x,35_t2_NF.1x,40_t2_NF.1x
G,Std,Pot_t2_Std_R9_NF.1x,23_t2_NF.1x,30_t2_NF.1x,Pot_t2_Std_R6_NF.1x,47_t2_NF.1x,32_t2_NF.1x,extr,7_t2_NF.1x,19_t2_NF.1x,35_t2_NF.1x,40_t2_NF.1x
H,Std,Pot_t2_Std_R9_NF.1x,23_t2_NF.1x,30_t2_NF.1x,Pot_t2_Std_R6_NF.1x,47_t2_NF.1x,32_t2_NF.1x,extr,7_t2_NF.1x,19_t2_NF.1x,35_t2_NF.1x,40_t2_NF.1x
NO3_TDN_20,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,37_t2_NF.2x,55_t2_NF.2x,74_t2_NF.2x,13_t2_NF.2x,62_t2_NF.2x,70_t2_NF.2x,extr,6_t2_NF.2x,77_t2_NF.2x,Pot_t2_SR10_NF.2x,51_t2_NF.2x
B,Std,37_t2_NF.2x,55_t2_NF.2x,74_t2_NF.2x,13_t2_NF.2x,62_t2_NF.2x,70_t2_NF.2x,extr,6_t2_NF.2x,77_t2_NF.2x,Pot_t2_SR10_NF.2x,51_t2_NF.2x
C,Std,37_t2_NF.2x,55_t2_NF.2x,74_t2_NF.2x,13_t2_NF.2x,62_t2_NF.2x,70_t2_NF.2x,extr,6_t2_NF.2x,77_t2_NF.2x,Pot_t2_SR10_NF.2x,51_t2_NF.2x
D,Std,37_t2_NF.2x,55_t2_NF.2x,74_t2_NF.2x,13_t2_NF.2x,62_t2_NF.2x,70_t2_NF.2x,extr,6_t2_NF.2x,77_t2_NF.2x,Pot_t2_SR10_NF.2x,51_t2_NF.2x
E,Std,37_t2_NF.1x,55_t2_NF.1x,74_t2_NF.1x,13_t2_NF.1x,62_t2_NF.1x,70_t2_NF.1x,extr,6_t2_NF.1x,77_t2_NF.1x,Pot_t2_SR10_NF.1x,51_t2_NF.1x
F,Std,37_t2_NF.1x,55_t2_NF.1x,74_t2_NF.1x,13_t2_NF.1x,62_t2_NF.1x,70_t2_NF.1x,extr,6_t2_NF.1x,77_t2_NF.1x,Pot_t2_SR10_NF.1x,51_t2_NF.1x
G,Std,37_t2_NF.1x,55_t2_NF.1x,74_t2_NF.1x,13_t2_NF.1x,62_t2_NF.1x,70_t2_NF.1x,extr,6_t2_NF.1x,77_t2_NF.1x,Pot_t2_SR10_NF.1x,51_t2_NF.1x
H,Std,37_t2_NF.1x,55_t2_NF.1x,74_t2_NF.1x,13_t2_NF.1x,62_t2_NF.1x,70_t2_NF.1x,extr,6_t2_NF.1x,77_t2_NF.1x,Pot_t2_SR10_NF.1x,51_t2_NF.1x
NO3_TDN_21,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,46_t2_NF.2x,Pot_t2_Std_R5_NF.2x,2_t2_NF.2x,28_t2_NF.2x,60_t2_NF.2x,4_t2_NF.2x,extr,56_t2_NF.2x,22_t2_NF.2x,Pot_t2_SR7_NF.2x,52_t2_NF.2x
B,Std,46_t2_NF.2x,Pot_t2_Std_R5_NF.2x,2_t2_NF.2x,28_t2_NF.2x,60_t2_NF.2x,4_t2_NF.2x,extr,56_t2_NF.2x,22_t2_NF.2x,Pot_t2_SR7_NF.2x,52_t2_NF.2x
C,Std,46_t2_NF.2x,Pot_t2_Std_R5_NF.2x,2_t2_NF.2x,28_t2_NF.2x,60_t2_NF.2x,4_t2_NF.2x,extr,56_t2_NF.2x,22_t2_NF.2x,Pot_t2_SR7_NF.2x,52_t2_NF.2x
D,Std,46_t2_NF.2x,Pot_t2_Std_R5_NF.2x,2_t2_NF.2x,28_t2_NF.2x,60_t2_NF.2x,4_t2_NF.2x,extr,56_t2_NF.2x,22_t2_NF.2x,Pot_t2_SR7_NF.2x,52_t2_NF.2x
E,Std,46_t2_NF.1x,Pot_t2_Std_R5_NF.1x,2_t2_NF.1x,28_t2_NF.1x,60_t2_NF.1x,4_t2_NF.1x,extr,56_t2_NF.1x,22_t2_NF.1x,Pot_t2_SR7_NF.1x,52_t2_NF.1x
F,Std,46_t2_NF.1x,Pot_t2_Std_R5_NF.1x,2_t2_NF.1x,28_t2_NF.1x,60_t2_NF.1x,4_t2_NF.1x,extr,56_t2_NF.1x,22_t2_NF.1x,Pot_t2_SR7_NF.1x,52_t2_NF.1x
G,Std,46_t2_NF.1x,Pot_t2_Std_R5_NF.1x,2_t2_NF.1x,28_t2_NF.1x,60_t2_NF.1x,4_t2_NF.1x,extr,56_t2_NF.1x,22_t2_NF.1x,Pot_t2_SR7_NF.1x,52_t2_NF.1x
H,Std,46_t2_NF.1x,Pot_t2_Std_R5_NF.1x,2_t2_NF.1x,28_t2_NF.1x,60_t2_NF.1x,4_t2_NF.1x,extr,56_t2_NF.1x,22_t2_NF.1x,Pot_t2_SR7_NF.1x,52_t2_NF.1x
NO3_TDN_22,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,11_t2_NF.2x,21_t2_NF.2x,41_t2_NF.2x,71_t2_NF.2x,5_t2_NF.2x,53_t2_NF.2x,extr,57_t2_NF.2x,3_t2_NF.2x,42_t2_NF.2x,67_t2_NF.2x
B,Std,11_t2_NF.2x,21_t2_NF.2x,41_t2_NF.2x,71_t2_NF.2x,5_t2_NF.2x,53_t2_NF.2x,extr,57_t2_NF.2x,3_t2_NF.2x,42_t2_NF.2x,67_t2_NF.2x
C,Std,11_t2_NF.2x,21_t2_NF.2x,41_t2_NF.2x,71_t2_NF.2x,5_t2_NF.2x,53_t2_NF.2x,extr,57_t2_NF.2x,3_t2_NF.2x,42_t2_NF.2x,67_t2_NF.2x
D,Std,11_t2_NF.2x,21_t2_NF.2x,41_t2_NF.2x,71_t2_NF.2x,5_t2_NF.2x,53_t2_NF.2x,extr,57_t2_NF.2x,3_t2_NF.2x,42_t2_NF.2x,67_t2_NF.2x
E,Std,11_t2_NF.1x,21_t2_NF.1x,41_t2_NF.1x,71_t2_NF.1x,5_t2_NF.1x,53_t2_NF.1x,extr,57_t2_NF.1x,3_t2_NF.1x,42_t2_NF.1x,67_t2_NF.1x
F,Std,11_t2_NF.1x,21_t2_NF.1x,41_t2_NF.1x,71_t2_NF.1x,5_t2_NF.1x,53_t2_NF.1x,extr,57_t2_NF.1x,3_t2_NF.1x,42_t2_NF.1x,67_t2_NF.1x
G,Std,11_t2_NF.1x,21_t2_NF.1x,41_t2_NF.1x,71_t2_NF.1x,5_t2_NF.1x,53_t2_NF.1x,extr,57_t2_NF.1x,3_t2_NF.1x,42_t2_NF.1x,67_t2_NF.1x
H,Std,11_t2_NF.1x,21_t2_NF.1x,41_t2_NF.1x,71_t2_NF.1x,5_t2_NF.1x,53_t2_NF.1x,extr,57_t2_NF.1x,3_t2_NF.1x,42_t2_NF.1x,67_t2_NF.1x
NO3_TDN_23,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,Pot_t2_Std_R11_NF.2x,72_t2_NF.2x,15_t2_NF.2x,54_t2_NF.2x,61_t2_NF.2x,66_t2_NF.2x,extr,78_t2_NF.2x,48_t2_NF.2x,31_t2_NF.2x,24_t2_NF.2x
B,Std,Pot_t2_Std_R11_NF.2x,72_t2_NF.2x,15_t2_NF.2x,54_t2_NF.2x,61_t2_NF.2x,66_t2_NF.2x,extr,78_t2_NF.2x,48_t2_NF.2x,31_t2_NF.2x,24_t2_NF.2x
C,Std,Pot_t2_Std_R11_NF.2x,72_t2_NF.2x,15_t2_NF.2x,54_t2_NF.2x,61_t2_NF.2x,66_t2_NF.2x,extr,78_t2_NF.2x,48_t2_NF.2x,31_t2_NF.2x,24_t2_NF.2x
D,Std,Pot_t2_Std_R11_NF.2x,72_t2_NF.2x,15_t2_NF.2x,54_t2_NF.2x,61_t2_NF.2x,66_t2_NF.2x,extr,78_t2_NF.2x,48_t2_NF.2x,31_t2_NF.2x,24_t2_NF.2x
